metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
netdata.dbengine_open_cache_memory_migrations,,"dirty to clean, hot to dirty",bytes/s,Netdata open Cache Memory Migrations (netdata.dbengine_open_cache_memory_migrations),area,,netdata,stats
netdata.dbengine_open_cache_operations,,"search closest, search exact, add hot, add clean, evictions, flushes, acquires, releases, del acquires",ops/s,Netdata open Cache Operations (netdata.dbengine_open_cache_operations),line,,netdata,stats
netdata.dbengine_open_cache_pages,,"clean, hot, dirty, referenced",pages,Netdata open Cache Pages (netdata.dbengine_open_cache_pages),line,,netdata,stats
netdata.dbengine_open_cache_workers,,"searchers, adders, evictors, flushers, hot2dirty, jv2 flushers",workers,Netdata open Cache Workers (netdata.dbengine_open_cache_workers),line,,netdata,stats
netdata.dbengine_open_target_memory,,"current, wanted, referenced, hot max, dirty max, hot, dirty",bytes,Netdata open Target Cache Memory (netdata.dbengine_open_target_memory),line,,netdata,stats
netdata.dbengine_open_waste_events,,"evictions skipped, flushes cancelled, acquire spins, release spins, insert spins, delete spins, evict spins, flush spins",events/s,Netdata open Waste Events (netdata.dbengine_open_waste_events),line,,netdata,stats
netdata.dbengine_prep_timings,,"routing, main cache, open cache, journal v2, pass4",usec/s,Netdata Query Preparation Timings (netdata.dbengine_prep_timings),stacked,,netdata,stats
netdata.dbengine_queries,,"total, open cache, journal v2, planned with gaps, executed with gaps",queries/s,Netdata Queries (netdata.dbengine_queries),line,,netdata,stats
netdata.dbengine_queries_running,,queries,queries,Netdata Queries Running (netdata.dbengine_queries_running),line,,netdata,stats
netdata.dbengine_query_next_page,,"pass4, failed slow, failed fast, loaded slow, loaded fast",pages/s,Netdata Query Next Page (netdata.dbengine_query_next_page),stacked,,netdata,stats
netdata.dbengine_query_next_page_issues,,"zero timestamp, invalid size, past time, overlapping, update every fixed, entries fixed",pages/s,Netdata Query Next Page Issues (netdata.dbengine_query_next_page_issues),stacked,,netdata,stats
netdata.dbengine_query_pages_data_source,,"main cache, disk, extent cache",pages/s,Netdata Query Pages to Data Source (netdata.dbengine_query_pages_data_source),stacked,,netdata,stats
netdata.dbengine_query_pages_disk_load,,"ok compressed, fail invalid page, ok uncompressed, fail cant mmap, fail unavailable, fail unroutable, fail not found, fail invalid extent, extent merged, cancelled",pages/s,Netdata Query Pages Loaded from Disk (netdata.dbengine_query_pages_disk_load),line,,netdata,stats
netdata.dbengine_query_pages_metadata_source,,"cache hit, journal v2 scan, open journal",pages/s,Netdata Query Pages Metadata Source (netdata.dbengine_query_pages_metadata_source),stacked,,netdata,stats
netdata.dbengine_query_timings,,"init, prep wait, next page disk fast, next page disk slow, next page preload fast, next page preload slow",usec/s,Netdata Query Timings (netdata.dbengine_query_timings),stacked,,netdata,stats
netdata.dictionaries.category.callbacks,,"inserts, deletes, conflicts, reacts",callbacks/s,Dictionary Callbacks (netdata.dictionaries.rrdset_rrddim.callbacks),line,category,netdata,stats
netdata.dictionaries.category.dictionaries,,"active, deleted",dictionaries,Dictionaries (netdata.dictionaries.collectors.dictionaries),line,category,netdata,stats
netdata.dictionaries.category.items,,"active, deleted, referenced",items,Dictionary Items (netdata.dictionaries.collectors.items),line,category,netdata,stats
netdata.dictionaries.category.memory,,"index, data, structures",bytes,Dictionary Memory (netdata.dictionaries.collectors.memory),stacked,category,netdata,stats
netdata.dictionaries.category.ops,,"creations, destructions, flushes, traversals, walkthroughs, garbage_collections, searches, inserts, resets, deletes",ops/s,Dictionary Operations (netdata.dictionaries.collectors.ops),line,category,netdata,stats
netdata.dictionaries.category.spins,,"use, search, insert, delete",count,Dictionary Spins (netdata.dictionaries.rrdset_rrddim.spins),line,category,netdata,stats
netdata.ebpf_hash_tables_count,,hash_table,hash tables,Number of hash tables loaded. (netdata.ebpf_hash_tables_count),line,,ebpf.plugin,process
netdata.ebpf_hash_tables_per_core,,"per_core, unique",threads,How threads are loading hash/array tables. (netdata.ebpf_hash_tables_per_core),line,,ebpf.plugin,process
netdata.ebpf_kernel_memory,,memory_locked,bytes,Memory allocated for hash tables. (netdata.ebpf_kernel_memory),line,,ebpf.plugin,process
netdata.ebpf_load_methods,,"legacy, co-re",methods,Load info. (netdata.ebpf_load_methods),line,,ebpf.plugin,process
netdata.ebpf_threads,,"total, running",threads,Threads info. (netdata.ebpf_threads),line,,ebpf.plugin,process
netdata.go_plugin_execution_time,,time,ms,Execution time (netdata.execution_time_of_logind),line,,go.d,logind
netdata.heartbeat,,"min, max, average",microseconds,System clock jitter (netdata.heartbeat),area,,netdata,stats
netdata.machine_learning_status,,"enabled, disabled-sp",dimensions,Machine learning status (netdata.machine_learning_status_on_lab-nd-dev-parent2),line,,ml.plugin,training
netdata.memory,,"db, collectors, hosts, rrdset rrddim, contexts, health, functions, labels, strings, streaming, replication, buffers, workers, aral, judy, other",bytes,Netdata Memory (netdata.memory),stacked,,netdata,stats
netdata.memory_buffers,,"queries, collection, aclk, api, functions, sqlite, exporters, health, streaming, streaming cbuf, replication, web, aral, judy",bytes,Netdata Memory Buffers (netdata.memory_buffers),stacked,,netdata,stats
netdata.metric_types,,"constant, variable",dimensions,Dimensions by metric type (netdata.metric_types_on_lab-nd-dev-parent2),line,,ml.plugin,training
netdata.ml_models_consulted,,num_models_consulted,models,KMeans models used for prediction (netdata.ml_models_consulted),area,,ml.plugin,detection
netdata.net,,"in, out",kilobits/s,Netdata Network Traffic (netdata.net),area,,netdata,stats
netdata.private_charts,,charts,charts,Private metric charts created by the netdata statsd server (netdata.private_charts),area,,statsd.plugin,stats
netdata.queries,,"/api/v1/data, /api/v1/weights, /api/v1/badge, health, ml, exporters, backfill, replication",queries/s,Netdata DB Queries (netdata.queries),stacked,,netdata,stats
netdata.queue_stats,,"queue_size, popped_items",items,Training queue stats (netdata.training_queue_0_stats),line,,ml.plugin,training
netdata.requests,,requests,requests/s,Netdata Web Requests (netdata.requests),line,,netdata,stats
netdata.response_time,,"average, max",milliseconds/request,Netdata API Response Time (netdata.response_time),line,,netdata,stats
netdata.server_cpu,,"user, system",milliseconds/s,Netdata CPU usage (netdata.server_cpu),stacked,,netdata,stats
netdata.sqlite3_context_cache,,"cache_hit, cache_miss, cache_spill, cache_write",ops/s,Netdata SQLite3 context cache (netdata.sqlite3_context_cache),line,,netdata,stats
netdata.sqlite3_metatada_cache,,"cache_hit, cache_miss, cache_spill, cache_write",ops/s,Netdata SQLite3 metadata cache (netdata.sqlite3_metatada_cache),line,,netdata,stats
netdata.sqlite3_queries,,queries,queries/s,Netdata SQLite3 Queries (netdata.sqlite3_queries),line,,netdata,stats
netdata.sqlite3_queries_by_status,,"ok, failed, busy, locked",queries/s,Netdata SQLite3 Queries by status (netdata.sqlite3_queries_by_status),line,,netdata,stats
netdata.sqlite3_rows,,ok,rows/s,Netdata SQLite3 Rows (netdata.sqlite3_rows),line,,netdata,stats
netdata.statsd_bytes,,"tcp, udp",kilobits/s,Bytes read by the netdata statsd server (netdata.statsd_bytes),stacked,,statsd.plugin,stats
netdata.statsd_events,,"gauges, counters, timers, meters, histograms, sets, dictionaries, unknown, errors",events/s,Events processed by the netdata statsd server (netdata.statsd_events),stacked,,statsd.plugin,stats
netdata.statsd_metrics,,"gauges, counters, timers, meters, histograms, sets, dictionaries",metrics,Metrics in the netdata statsd database (netdata.statsd_metrics),stacked,,statsd.plugin,stats
netdata.statsd_packets,,"tcp, udp",packets/s,Network packets processed by the netdata statsd server (netdata.statsd_packets),stacked,,statsd.plugin,stats
netdata.statsd_reads,,"tcp, udp",reads/s,Read operations made by the netdata statsd server (netdata.statsd_reads),stacked,,statsd.plugin,stats
netdata.statsd_useful_metrics,,"gauges, counters, timers, meters, histograms, sets, dictionaries",metrics,Useful metrics in the netdata statsd database (netdata.statsd_useful_metrics),stacked,,statsd.plugin,stats
netdata.strings_entries,,"entries, references",entries,Strings entries (netdata.strings_entries),area,,netdata,stats
netdata.strings_memory,,memory,bytes,Strings memory (netdata.strings_memory),area,,netdata,stats
netdata.strings_ops,,"inserts, deletes, searches, duplications, releases",ops/s,Strings operations (netdata.strings_ops),line,,netdata,stats
netdata.tcp_connected,,connected,sockets,statsd server TCP connected sockets (netdata.tcp_connected),line,,statsd.plugin,stats
netdata.tcp_connects,,"connects, disconnects",events,statsd server TCP connects and disconnects (netdata.tcp_connects),line,,statsd.plugin,stats
netdata.training_results,,"ok, invalid-queries, not-enough-values, null-acquired-dimensions, chart-under-replication",events,Training results (netdata.training_queue_0_results),line,,ml.plugin,training
netdata.training_status,,"untrained, pending-without-model, trained, pending-with-model, silenced",dimensions,Training status of dimensions (netdata.training_status_on_lab-nd-dev-parent2),line,,ml.plugin,training
netdata.training_time_stats,,"allotted, consumed, remaining",milliseconds,Training time stats (netdata.training_queue_0_time_stats),line,,ml.plugin,training
netdata.uptime,,uptime,seconds,Netdata uptime (netdata.uptime),line,,netdata,stats
netdata.workers.aclkquery.cpu,,"min, max, average",%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_aclkquery),area,,netdata,stats
netdata.workers.aclkquery.jobs_started_by_type,,"http_api_request_v2, register_node, node_state_update, chart_and_dim_update, chart_config_updated, reset_chart_messages, update_retention_info, update_node_info, alarm_checkpoint, provide_alarm_config, alarm_snapshot, update_node_collectors, generic_binary_proto_message",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_aclkquery),stacked,,netdata,stats
netdata.workers.aclkquery.threads,,"free, busy",threads,Netdata Workers Threads (netdata.workers_threads_aclkquery),stacked,,netdata,stats
netdata.workers.aclkquery.time,,"min, max, average",%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_aclkquery),area,,netdata,stats
netdata.workers.aclkquery.time_by_type,,"http_api_request_v2, register_node, node_state_update, chart_and_dim_update, chart_config_updated, reset_chart_messages, update_retention_info, update_node_info, alarm_checkpoint, provide_alarm_config, alarm_snapshot, update_node_collectors, generic_binary_proto_message",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_aclkquery),stacked,,netdata,stats
netdata.workers.aclksync.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_aclksync),area,,netdata,stats
netdata.workers.aclksync.jobs_started_by_type,,"noop, cleanup, node delete, node state, alert push, alert conf push, alert snapshot, alert checkpoint, alerts check, timer",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_aclksync),stacked,,netdata,stats
netdata.workers.aclksync.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_aclksync),area,,netdata,stats
netdata.workers.aclksync.time_by_type,,"noop, cleanup, node delete, node state, alert push, alert conf push, alert snapshot, alert checkpoint, alerts check, timer",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_aclksync),stacked,,netdata,stats
netdata.workers.cgroups.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_cgroups),area,,netdata,stats
netdata.workers.cgroups.jobs_started_by_type,,"lock, read, chart",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_cgroups),stacked,,netdata,stats
netdata.workers.cgroups.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_cgroups),area,,netdata,stats
netdata.workers.cgroups.time_by_type,,"lock, read, chart",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_cgroups),stacked,,netdata,stats
netdata.workers.cgroupsdisc.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_cgroupsdisc),area,,netdata,stats
netdata.workers.cgroupsdisc.jobs_started_by_type,,"init, find, process, rename, network, new, update, cleanup, copy, share, lock",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_cgroupsdisc),stacked,,netdata,stats
netdata.workers.cgroupsdisc.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_cgroupsdisc),area,,netdata,stats
netdata.workers.cgroupsdisc.time_by_type,,"init, find, process, rename, network, new, update, cleanup, copy, share, lock",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_cgroupsdisc),stacked,,netdata,stats
netdata.workers.cpu_total,,"stats, health, mltrain, mldetect, streamsnd, dbengine, libuv, web, aclksync, metasync, pluginsd, statsd, statsdflush, proc, netdev, cgroups, cgroupsdisc, diskspace, tc, timex, idlejitter, rrdcontext, replication, service, aclkquery, streamrcv",%,Netdata Workers CPU Utilization (100% = 1 core) (netdata.workers_cpu),stacked,,netdata,stats
netdata.workers.dbengine.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_dbengine),area,,netdata,stats
netdata.workers.dbengine.jobs_started_by_type,,"noop, query, extent write, extent read, flushed to open, db rotate, journal index, flush init, evict init, ctx shutdown, ctx quiesce, get opcode, query cb, extent write cb, extent read cb, flushed to open cb, db rotate cb, journal index cb, flush init cb, evict init cb, ctx shutdown cb, ctx quiesce cb, timer, transaction buffer flush cb",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_dbengine),stacked,,netdata,stats
netdata.workers.dbengine.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_dbengine),area,,netdata,stats
netdata.workers.dbengine.time_by_type,,"noop, query, extent write, extent read, flushed to open, db rotate, journal index, flush init, evict init, ctx shutdown, ctx quiesce, get opcode, query cb, extent write cb, extent read cb, flushed to open cb, db rotate cb, journal index cb, flush init cb, evict init cb, ctx shutdown cb, ctx quiesce cb, timer, transaction buffer flush cb",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_dbengine),stacked,,netdata,stats
netdata.workers.dbengine.value.opcodes_waiting,,"min, max, average",opcodes,Netdata Workers dbengine value of opcodes waiting (netdata.workers_dbengine_value_opcodes_waiting),line,,netdata,stats
netdata.workers.dbengine.value.works_dispatched,,"min, max, average",works,Netdata Workers dbengine value of works dispatched (netdata.workers_dbengine_value_works_dispatched),line,,netdata,stats
netdata.workers.dbengine.value.works_executing,,"min, max, average",works,Netdata Workers dbengine value of works executing (netdata.workers_dbengine_value_works_executing),line,,netdata,stats
netdata.workers.diskspace.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_diskspace),area,,netdata,stats
netdata.workers.diskspace.jobs_started_by_type,,"mountinfo, mountpoint, cleanup",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_diskspace),stacked,,netdata,stats
netdata.workers.diskspace.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_diskspace),area,,netdata,stats
netdata.workers.diskspace.time_by_type,,"mountinfo, mountpoint, cleanup",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_diskspace),stacked,,netdata,stats
netdata.workers.health.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_health),area,,netdata,stats
netdata.workers.health.jobs_started_by_type,,"rrd lock, host lock, db lookup, calc eval, warning eval, critical eval, alarm log entry, alarm log process, rrdset init, rrddim init",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_health),stacked,,netdata,stats
netdata.workers.health.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_health),area,,netdata,stats
netdata.workers.health.time_by_type,,"rrd lock, host lock, db lookup, calc eval, warning eval, critical eval, alarm log entry, alarm log process, rrdset init, rrddim init",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_health),stacked,,netdata,stats
netdata.workers.idlejitter.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_idlejitter),area,,netdata,stats
netdata.workers.idlejitter.jobs_started_by_type,,measurements,jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_idlejitter),stacked,,netdata,stats
netdata.workers.idlejitter.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_idlejitter),area,,netdata,stats
netdata.workers.idlejitter.time_by_type,,measurements,ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_idlejitter),stacked,,netdata,stats
netdata.workers.libuv.cpu,,"min, max, average",%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_libuv),area,,netdata,stats
netdata.workers.libuv.jobs_started_by_type,,"worker init, query, extent cache, extent mmap, extent decompression, page lookup, page populate, page allocate, flush main, extent write, flushed to open, jv2 index wait, jv2 indexing, datafile delete wait, datafile deletion, find rotated metrics, find remaining retention, update retention, evict main, dbengine buffers cleanup, dbengine quiesce, dbengine shutdown, metadata load host context, metadata store host, metadata cleanup, schedule command",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_libuv),stacked,,netdata,stats
netdata.workers.libuv.threads,,"free, busy",threads,Netdata Workers Threads (netdata.workers_threads_libuv),stacked,,netdata,stats
netdata.workers.libuv.time,,"min, max, average",%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_libuv),area,,netdata,stats
netdata.workers.libuv.time_by_type,,"worker init, query, extent cache, extent mmap, extent decompression, page lookup, page populate, page allocate, flush main, extent write, flushed to open, jv2 index wait, jv2 indexing, datafile delete wait, datafile deletion, find rotated metrics, find remaining retention, update retention, evict main, dbengine buffers cleanup, dbengine quiesce, dbengine shutdown, metadata load host context, metadata store host, metadata cleanup, schedule command",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_libuv),stacked,,netdata,stats
netdata.workers.metasync.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_metasync),area,,netdata,stats
netdata.workers.metasync.jobs_started_by_type,,"noop, timer, delete dimension, add claim id, add host info, maintenance, ml load models",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_metasync),stacked,,netdata,stats
netdata.workers.metasync.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_metasync),area,,netdata,stats
netdata.workers.metasync.time_by_type,,"noop, timer, delete dimension, add claim id, add host info, maintenance, ml load models",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_metasync),stacked,,netdata,stats
